Mother	Father	Seed	PlantID	Sown	Germinated	Flowered	Blossom	Date	stage	ASD	GAD	GSDl	GSDc	GSDr	GW	GHl	GHr	SWl	SWc	SWr	SLl	SLc	SLr	UBL	UBW	LBL	LBW
1-1	1-1	a	1-1x1-1a	1	1	1	1	25.3.2021	1	2.22	4.90	4.29	5.41	4.65	5.15	2.16	2.35	1.89	1.94	1.94	6.74	7.01	7.00	23.60	21.68	26.02	25.79
1-1	1-1	a	1-1x1-1a	1	1	1	2	29.3.2021	1	3.26	6.22	6.51	5.97	5.03	7.13	3.07	2.91	2.18	2.01	1.99	8.83	8.16	8.06	25.54	25.49	26.43	25.87
1-1	1-1	b	1-1x1-1b	1	1	1	1	5.5.2021	1	2.51	5.97	6.31	6.52	5.70	6.94	2.81	2.93	2.15	2.27	2.14	8.37	8.38	8.16	31.04	28.44	31.55	30.69
1-1	1-1	b	1-1x1-1b	1	1	1	2	6.5.2021	1	2.83	6.12	6.33	7.45	6.03	8.09	3.36	3.22	2.56	2.84	2.57	8.99	8.92	8.81	24.95	25.37	24.96	25.29
1-1	1-1	c	1-1x1-1c	1	1	1	1	3.3.2021	2	2.54	5.60	4.97	5.36	4.77	5.67	2.66	2.48	1.64	1.82	1.64	7.38	6.83	6.84	23.17	25.06	26.33	28.89
1-1	1-1	c	1-1x1-1c	1	1	1	2	11.4.2021	1	2.97	5.96	6.45	6.96	6.21	7.14	2.78	2.90	2.10	2.35	2.09	9.58	9.53	9.77	29.88	29.30	32.58	29.89
1-1	1-2	b	1-1x1-2b	1	1	1	1	27.2.2021	1	1.73	5.73	5.47	6.28	5.24	6.30	2.73	2.11	2.31	2.23	2.10	7.43	7.35	7.49	21.75	22.01	24.45	25.01
1-1	1-2	b	1-1x1-2b	1	1	1	2	28.3.2021	1	1.07	6.50	6.57	7.23	7.50	7.29	3.17	3.41	2.49	2.29	2.28	9.53	9.16	9.71	24.32	24.28	25.46	26.02
1-1	1-2	c	1-1x1-2c	1	1	1	1	13.3.2021	1	1.29	5.17	6.43	6.28	6.88	6.27	2.74	2.77	1.87	1.69	1.87	8.73	8.78	8.72	19.15	24.35	23.53	25.19
1-1	1-2	c	1-1x1-2c	1	1	1	2	15.3.2021	1	0.66	4.84	7.92	9.54	7.81	7.14	3.05	2.84	2.01	1.99	1.97	10.12	9.94	9.83	25.11	24.82	26.49	27.88
1-1	1-3	a	1-1x1-3a	1	1	1	1	26.2.2021	1	1.58	5.77	6.36	7.66	6.50	7.42	3.25	3.32	2.69	2.77	2.87	9.11	9.00	9.33	30.01	31.01	31.72	35.83
1-1	1-3	a	1-1x1-3a	1	1	1	2	9.3.2021	1	3.02	3.94	5.01	5.02	4.74	6.39	3.01	2.66	1.86	1.96	1.61	7.17	7.01	7.00	23.81	23.73	24.23	27.34
1-1	1-3	c	1-1x1-3c	1	1	1	1	8.4.2021	3	2.90	5.89	6.22	6.46	6.12	7.61	2.75	2.91	2.61	2.60	2.53	9.25	9.15	9.43	27.72	28.55	30.14	29.92
1-1	1-3	c	1-1x1-3c	1	1	1	2	10.4.2021	1	2.58	6.05	5.99	6.92	6.73	8.72	3.52	3.76	2.10	2.43	2.21	9.56	9.48	9.77	25.88	26.24	27.18	28.39
1-1	1-4	a	1-1x1-4a	1	1	1	1	24.3.2021	2	2.48	5.26	4.83	5.18	4.78	7.55	3.07	3.15	2.30	2.37	2.24	7.62	7.55	7.59	27.04	28.01	28.96	32.52
1-1	1-4	a	1-1x1-4a	1	1	1	2	30.3.2021	1	2.23	5.02	5.40	6.36	5.85	6.60	2.80	2.72	2.24	2.24	2.17	8.32	7.75	8.07	25.21	26.35	28.14	29.59
1-1	1-4	c	1-1x1-4c	1	1	1	1	12.3.2021	1	2.12	5.03	4.84	6.58	5.53	7.49	3.28	2.84	2.25	2.07	2.11	8.00	8.32	8.14	19.09	21.93	21.82	24.91
1-1	1-4	c	1-1x1-4c	1	1	1	2	22.3.2021	1	4.25	6.61	4.97	5.66	5.43	7.68	3.42	3.72	2.36	2.34	2.31	8.57	8.72	7.75	27.70	27.40	28.13	31.63
1-2	1-1	a	1-2x1-1a	1	1	1	1	6.4.2021	1	0.10	5.75	7.34	8.26	7.52	6.80	2.13	2.51	1.99	2.00	1.99	10.16	9.38	9.92	30.56	30.25	34.13	36.71
1-2	1-1	a	1-2x1-1a	1	1	1	2	8.4.2021	2	1.42	6.04	6.79	8.48	6.93	8.51	3.34	3.36	2.26	2.52	2.37	10.31	9.86	10.08	24.84	26.39	23.82	24.78
1-2	1-1	b	1-2x1-1b	1	1	1	1	19.3.2021	1	0.91	5.74	6.18	7.73	6.53	7.93	3.61	3.49	2.28	2.13	2.18	10.57	9.87	10.16	22.34	25.03	25.65	23.42
1-2	1-1	b	1-2x1-1b	1	1	1	2	11.4.2021	1	2.09	6.07	7.48	8.39	6.56	8.51	3.73	3.64	2.34	2.52	2.10	10.71	10.00	10.55	22.19	22.86	21.45	22.65
1-2	1-2	a	1-2x1-2a	1	1	1	1	5.5.2021	3	1.91	6.12	7.00	8.90	7.85	7.95	3.22	3.47	2.64	2.61	2.63	10.96	10.68	11.23	22.98	26.05	26.14	27.96
1-2	1-2	a	1-2x1-2a	1	1	1	2	6.5.2021	1	0.65	4.86	5.77	8.10	6.67	6.80	2.89	3.04	2.53	2.47	2.43	9.85	9.90	10.26	22.50	25.91	22.86	25.63
1-2	1-2	b	1-2x1-2b	1	1	1	1	1.4.2021	1	0.56	5.76	7.40	6.86	7.40	7.99	3.06	3.27	1.82	2.01	1.92	9.96	10.07	10.03	22.13	24.25	21.40	22.54
1-2	1-2	b	1-2x1-2b	1	1	1	2	7.4.2021	1	1.14	5.50	7.80	8.69	8.40	7.01	3.17	3.06	1.93	1.93	1.69	10.11	10.18	10.18	26.41	25.57	26.69	28.86
1-2	1-3	b	1-2x1-3b	1	1	1	1	29.4.2021	3	2.83	5.54	6.94	8.81	6.82	7.90	3.26	3.26	2.07	2.08	1.91	9.23	9.04	8.78	27.52	30.16	29.93	32.91
1-2	1-3	b	1-2x1-3b	1	1	1	2	13.5.2021	1	2.07	6.02	6.98	7.39	6.94	7.88	3.20	3.09	1.98	2.03	1.96	8.62	8.78	8.77	24.76	25.76	26.90	28.63
1-2	1-3	c	1-2x1-3c	1	1	1	1	31.3.2021	1	0.82	6.85	7.83	7.50	8.22	8.76	3.44	3.77	2.30	1.91	2.17	11.43	10.79	11.20	30.07	29.57	30.33	32.11
1-2	1-3	c	1-2x1-3c	1	1	1	2	4.4.2021	2	1.31	7.51	8.19	9.04	8.13	9.25	3.94	4.07	2.29	2.43	2.44	11.43	10.99	11.32	29.47	30.12	30.48	33.56
1-2	1-4	a	1-2x1-4a	1	1	1	1	13.3.2021	1	1.54	6.16	7.52	7.14	7.64	7.61	3.30	3.24	2.02	1.88	2.03	9.02	8.81	9.06	24.08	27.58	25.84	31.86
1-2	1-4	a	1-2x1-4a	1	1	1	2	22.4.2021	1	2.56	5.11	7.12	7.69	7.56	7.55	2.71	2.78	2.06	2.00	2.18	9.44	9.16	9.05	24.43	25.24	29.75	31.34
1-2	1-4	c	1-2x1-4c	1	1	1	1	25.3.2021	3	0.48	5.92	7.00	7.67	6.84	7.95	3.16	3.32	2.67	2.48	2.72	9.77	9.24	10.19	25.12	27.51	28.21	30.49
1-2	1-4	c	1-2x1-4c	1	1	1	2	8.4.2021	1	1.99	5.66	6.56	7.05	6.62	8.13	3.45	3.48	2.29	2.63	2.32	9.74	9.15	9.43	24.20	25.91	24.86	28.07
1-3	1-1	a	1-3x1-1a	1	1	1	1	1.4.2021	1	1.65	6.74	7.62	7.71	7.16	6.38	2.97	2.85	2.37	2.72	2.68	9.11	8.70	9.26	33.01	31.45	33.06	36.68
1-3	1-1	a	1-3x1-1a	1	1	1	2	7.4.2021	1	0.21	5.76	6.73	7.83	6.71	7.73	2.82	2.73	2.57	2.62	2.61	9.78	9.70	9.79	31.36	30.34	30.46	32.62
