animal	dam	sire
2014.2	NA	NA
2014.8	NA	NA
2014.12	NA	NA
2	NA	NA
4	NA	NA
5	NA	NA
6	NA	NA
7	NA	NA
8	NA	NA
9	NA	NA
10	NA	NA
13	NA	NA
15	NA	NA
19	NA	NA
24	NA	NA
26	NA	NA
28	NA	NA
28b	NA	NA
28c	NA	NA
29	NA	NA
30	NA	NA
1-1	13	NA
1-2	28c	NA
1-3	29	NA
1-4	9	NA
2-1	30	NA
2-2	2	NA
2-3	7	NA
2-4	26	NA
3-1	28b	NA
3-2	24	NA
3-3	2014.8	4
3-4	6	NA
4-1	30	NA
4-2	28b	NA
4-3	19	NA
4-4	8	NA
5-1	2014.8	2014.12
5-2	19	19
5-3	24	NA
5-4	28c	NA
6-1	28	NA
6-2	9	NA
6-3	26	NA
6-4	2014.12	2014.8
7-1	2	NA
7-2	26	NA
7-3	2014.2	2014.8
7-4	28	NA
8-1	10	NA
8-2	7	NA
8-3	30	NA
8-4	5	NA
9-1	2014.8	2014.2
9-2	2	NA
9-3	30	NA
9-4	28b	NA
10-1	2014.8	2014.8
10-2	2	NA
10-3	2014.12	2014.2
10-4	15	2
