"species","pop","GSD","GAD","ASD"
"S","S1",3.5,0.77,2.26
"S","S1",4.77,5.35,4.22
"S","S1",6.13,6.11,2.15
"S","S1",6.91,5.43,1.87
"S","S1",6.89,6.49,2.63
"S","S1",5.95,5.09,3.4
"S","S1",7.31,5.39,3.31
"S","S6",5.66,NA,NA
"S","S6",6.94,5.99,0.3
"S","S9",4.81,5.56,3.9
"S","S9",4.81,4.64,3.38
"S","S9",5.09,NA,NA
"S","S9",5.48,5.3,3.53
"S","S8",4.6,4.6,3.84
"S","S8",6.22,7.37,5.79
"S","S8",4.7,3.6,3.57
"S","S8",NA,5.87,3.17
"S","S8",4.27,5.42,4.3
"S","S8",4.32,5.41,4.55
"S","S8",5.02,4.58,5.36
"S","S9",6.23,7.22,3.08
"S","S9",5.42,5.16,3.29
"S","S9",5.2,4.56,3.18
"S","S8",4.67,5.64,4.55
"S","S8",4.82,3.85,4.77
"S","068",5.32,2.84,1.67
"S","068",6.94,3.26,3.47
"S","068",4.93,5.08,3.11
"S","S8",4.75,5.16,4.7
"S","S11",NA,NA,NA
"S","S11",NA,NA,NA
"S","S11",3.98,NA,NA
"S","S12",4.99,3.58,2.31
"S","S12",4.78,3.29,3.17
"S","S12",5.25,3.99,3.85
"S","S12",6.62,4.87,2.18
"S","S12",6.18,4.94,1.81
"S","S12",4.84,3.27,3.09
"S","S12",4.78,NA,NA
"S","S12",6.61,NA,NA
"S","S4",5.88,NA,NA
"S","S4",7.38,6.59,4.01
"S","S4",6.97,2.9,8.24
"S","S4",6.6,4.13,3.71
"S","S4",2.33,5.12,4.74
"S","S2",5.29,5.43,4.09
"S","S2",5.84,NA,NA
"S","S2",6.03,4.47,3.12
"S","S2",4.8,3.5,2.68
"S","S2",5.29,3.97,1.99
"S","S2",5.26,3.91,3.71
"S","S2",5.53,5.21,3.38
"S","S2",5.97,6.01,1.88
"S","S2",5.72,4.83,3.69
"S","S2",6.46,5.81,2.22
"S","S2",5.31,4.72,3.15
"S","S2",3.82,3.6,2.77
"S","S2",5.68,4.09,3.26
"S","S2",5.05,5.54,3.98
"S","S2",5.61,4.14,2.61
"S","S2",4.55,3.26,1.77
"S","S2",4.6,3.31,3.74
"S","S1",6.33,5.5,2.01
"S","S1",5.53,4.83,1.07
"S","S1",6.31,5.56,1.78
"S","S1",8.09,6.7,1.8
"S","S1",5.44,4.57,3.25
"S","S1",5.76,5.9,2.39
"S","S1",6.48,5.33,2.4
"S","S1",7.23,6.95,1.12
"S","S1",4.79,5.48,2.1
"S","S1",7.74,6.11,0.36
"S","S1",5.37,4.02,1.22
"S","S1",6.94,4.79,1.5
"S","S1",6.9,4.6,1.77
"S","S1",4.68,3.45,2.79
"S","S1",6.58,5,0.62
"S","S1",6.51,4.79,1.82
"S","S1",4.37,3.62,2.74
"S","S1",5.6,5.95,2.03
"S","S6",5.15,4.85,3.43
"S","S6",4.42,5.17,3.5
"S","S6",5.4,4.55,4.59
"S","S6",7.03,4.52,1.08
"S","S6",2.7,4.69,4.09
"S","S6",3.94,5.72,2.33
"S","S6",6.83,6.57,0.4
"S","S26",4.49,4.08,1.74
"S","S21e",5.46,6.11,1.89
"S","S21e",5.78,5.83,2.53
"S","S21e",4.26,5.36,1.72
"S","S21e",5.8,5.57,2.7
"S","S21e",4.03,3.19,3.72
"S","S21e",4.61,3.86,3.91
"S","S21e",4.72,2.84,2.25
"S","S21",4.43,5.52,4.22
"S","S21",3.92,5.91,2.63
"S","S21",4.63,5.4,4.34
"S","S21",5.33,6.89,4.13
"S","S21e",5.08,3.34,2.69
"S","S21e",3.21,2.79,2.63
"S","S21",4.13,5.79,5.34
"S","S21",4.96,3.97,2.2
"S","S21",6.91,6.31,3.45
"S","S21",5.8,5.49,4.04
"S","S21",5.14,5.57,3.92
"S","S21",4.55,5.24,3.69
"S","S21",5.04,3.87,2.54
"S","S21",3.93,5.34,3.12
"S","S21",4.08,3.06,2.11
"S","S21",4.09,5.24,3.53
"S","S21",6.18,6.6,2.74
"S","S21",3.83,5.97,5.17
"S","S21",4.13,4.86,3.03
"S","S21",4.46,4.26,3.93
"S","S11",6.28,5.35,2.61
"S","S11",4.87,5.27,3.2
"S","S11",4.53,4.14,1.88
"S","S11",3.34,4.76,2.37
"S","S11",3.52,3.3,1.63
"S","S11",4.96,5.14,2.84
"S","S11",5.07,5.59,2.58
"S","S11",5.29,4.79,1.94
"S","S11",5.59,6.57,3.6
"S","S11",3.82,4.64,4.2
"S","S11",6.09,5.3,2.94
"S","S11",4.35,4.65,2.81
"S","S11",4.36,5.03,4.29
"S","S11",5.77,5.78,5.27
"S","S11",5.37,5.42,4.25
"S","S11",5.65,3.88,3.32
"S","S11",5.39,5.97,4.24
"S","S11",5.75,6.18,1.79
"S","S11",5.82,5.63,2.95
"S","S11",5.48,5.09,2.61
"S","S11",4.24,5.14,2.81
"S","S11",5.67,5.61,2.21
"S","S11",4.91,4.68,4.57
"S","S11",4.62,5.05,3.54
"S","S11",5.7,4.98,2.87
"S","S11",5.02,5.55,2.97
"S","S11",5.04,4.76,3.16
"S","S11",4.43,5.6,3.33
"S","S11",5.15,7.06,3.67
"S","S11",5.51,6.82,2.86
"S","S11",4.3,6.15,4.43
"S","S11",5.4,5.8,2.89
