"species","pop","patch","GSD","GAD","ASD"
"S","S1","B",3.5,0.77,2.26
"S","S1","C",4.77,5.35,4.22
"S","S1","D",6.13,6.11,2.15
"S","S1","D",6.91,5.43,1.87
"S","S1","E",6.89,6.49,2.63
"S","S1","E",5.95,5.09,3.4
"S","S1","D",7.31,5.39,3.31
"S","S6","13",6.94,5.99,0.3
"S","S9","6",4.81,5.56,3.9
"S","S8","2",4.6,4.6,3.84
"S","S8","1",6.22,7.37,5.79
"S","S8","3",4.7,3.6,3.57
"S","S8","6",4.27,5.42,4.3
"S","S8","7",4.32,5.41,4.55
"S","S8","7",5.02,4.58,5.36
"S","S9","Stubbe",6.23,7.22,3.08
"S","S8","17",4.67,5.64,4.55
"S","S8","5",4.82,3.85,4.77
"S","S8","7",4.75,5.16,4.7
"S","S21e","C",5.46,6.11,1.89
"S","S21e","C",5.78,5.83,2.53
"S","S21e","C",4.26,5.36,1.72
"S","S21e","C",5.8,5.57,2.7
"S","S21e","D",4.03,3.19,3.72
"S","S21e","D",4.61,3.86,3.91
"S","S21e","D",4.72,2.84,2.25
"S","S21e","E",5.08,3.34,2.69
"S","S21e","E",3.21,2.79,2.63
"S","S11","A",6.28,5.35,2.61
"S","S11","B",4.87,5.27,3.2
"S","S11","B",4.53,4.14,1.88
"S","S11","B",3.34,4.76,2.37
"S","S11","B",3.52,3.3,1.63
"S","S11","B",4.96,5.14,2.84
"S","S11","B",5.07,5.59,2.58
"S","S11","B",5.29,4.79,1.94
"S","S11","C",5.59,6.57,3.6
"S","S11","C",3.82,4.64,4.2
"S","S11","D",6.09,5.3,2.94
"S","S11","D",4.35,4.65,2.81
"S","S11","D",4.36,5.03,4.29
"S","S11","E",5.77,5.78,5.27
"S","S11","E",5.37,5.42,4.25
"S","S11","F",5.65,3.88,3.32
"S","S11","G",5.39,5.97,4.24
"S","S11","H",5.75,6.18,1.79
"S","S11","H",5.82,5.63,2.95
"S","S11","H",5.48,5.09,2.61
"S","S11","I",4.24,5.14,2.81
"S","S11","I",5.67,5.61,2.21
"S","S11","J",4.91,4.68,4.57
"S","S11","J",4.62,5.05,3.54
"S","S11","K",5.7,4.98,2.87
